firstname,lastname,location
Victor,Hugo,France
Jessica,Debussy,français
Thomas,Lucas,Jordyn
Yann,Summer,Sud
Juliette,Christ,la France
Alice,Familia,Marseille
Marc,Eiffel,Lyon
Lili,Grognon,Montpellier
Cédric,Perrault,Paris
Théo,Hüseyin,Arc de Triomphe
James,Merkel,Champs-Élysées
Bartholdi,Glotte,Tour Eiffel
Camille,Glottis,Tuileries
Victoire,Kubrick,Île de la Cité
Jésus,Metz,cathédrale Notre-Dame de Paris
Franck,Besson,Opéra Garnier
Paola,Pataquès,Montmartre
Lucas,Tell,Nice
Claude,Laurent,Cagnes-Sur-Mer
Cher,Corentin,Antibes
Molière,Ratus,Espagne
Laurent,,Juillet
Alain,,Français
Gertrude,,Italie
Marcelline,,l'Espagne
Marie,,Vieux Lyon
Lionel,,James
Marcel,,Saône
Patrice,,Rhône
Snowy,,Place des Terreaux
Louis,,Confluence
Maryse,,le Rhône
Sonia,,Fourvière
Jennifer,,Notre Dame de Fourvière
Ashley,,de France
Emilie,,Limoges
David,,Pierre
Frank,,Région Parisienne
Carême,,Aigle
Christ,,Normandie
Hugo,,La France
Laura,,Londres
Sagrada,,Camden Town
Julie,,Oxford Street
Félix,,Covent Garden
Marianne,,Canada
Gustave,,Biarritz
Smith,,Barcelone
Clément,,Rome
Jason,,Parc Güell
Martin,,Ecole Militaire
Madame,,Alsace
Olivier,,Petite France
Pablo,,Strasbourg
Verbes,,tour Eiffel
Carl,,ville de
Ludo,,cathédrale Notre-Dame
Kevin,,tour Montparnasse
Michael,,la Seine
Charles,,Champ-de-Mars
Ursus,,Lola
Dialogues,,Provence
Turşucu,,Mucem
Bobby,,Fort Saint-Jean
Since,,Vieux Port
Angela,,Notre Dame de la Garde
Stefano,,Prado
Georgia,,Marseillais
Pierrot,,Parisiens
Pierre,,A1
Yoshi,,Verbes
However,,Bruxelles
French,,B1
Jean,,Milo
Pascal,,B2
Docteur,,IstanbulTurquie
Doctor,,In
Ulli,,Moreover
Peter,,Finally
Paul,,Caen
Jeanne,,I
Mathilde,,Indeed
Sandrine,,I am very bad in cooking and I
Jeremy,,However
Robin,,Thabita
Sophie,,Georgia
Arnaud,,au Louvre
Léon,,Musée du Louvre
Charline,,Seine
Anthony,,Cathédrale de Notre-Dame
Ana,,Saint-Michel
Simon,,Panthéon
Arthur,,Basilique du Sacré-Cœur
Léo,,Paris with Georgia from Monday to Wednesday
Stéfano,,Paris is a city made for walking
Stanley,,Be
Bryan,,just next door
Owen,,Cathédrale
Cuisiner,,Luxembourg
Christian,,château de Versailles
Benoît,,Carlux
Adrien,,Dordogne
Daniel,,Sarlat
Devons,,It’
Monsieur,,Rouen
Luc,,it’
Besson,,Metz
Cinema,,Japonais
Dear,,Japon
Kubrick,,Chinois
They,,Osaka
Waiter,,Japanese
Madeleine,,I still went to
Salaire,,It
And,,the city is so dirty!
Didier,,Vivre
Otherwise,,Chine
The,,États-Unis
Sir,,Allemagne
Saint,,Dijon
Between,,le Japon
Motocultor,,The
Everyone,,Expun
Pacques,,Oula
Méthode,,B1-B2
Marou,,Explorez
Ratus,,Alençon
Belo,,île de Ré
Finally,,potage Saint-Germain
,,Lisbonne
,,Phare Breton
,,Rennes
,,Bretagne
,,Écosse
,,Saint-Malo
,,Berlin
,,Motocultor
,,aéroport de Paris
,,Lannilis
,,Roberta
,,forêt de Simeyrols
,,Madrid
,,Domfront
,,Seller
,,Precisely
,,So
,,Séville
,,Seville
,,le Louvre
,,they
,,Eiffel Tower
,,Thus
,,us
,,I am very motivated
,,I’ve
,,Waiter
,,Noted
,,Very well
,,aéroport Charles de Gaulle
,,RER
,,RER B
,,Orsay Ville
,,Châtelet
,,Mairie
,,Saint-Ouen
,,He
,,RER B?Bystander
,,Châtelet les Halles
,,Owen
,,Chatelet
,,Beau
,,contact@beauregard.com
,,Pique-Dîne
,,Ile de Ré
,,Salary
,,Advantages
,,Vienne
,,Autriche
,,ville de Vienne
,,Normally
,,Paris Brest
,,I forget that every time!
,,Tell
,,they have some very nice cakes
,,that’
,,nice
,,I’
,,OK
,,do you want anything
,,Paris Brest and an apple pie
,,Pologne
,,Immobilier
,,Cher
,,Los Angeles
,,Vannes
,,Quimper
,,musée des beaux-arts
,,Jardin de la Retraite
,,Concarneau
,,Bénodet
,,Kouign-Amann
,,After Quimper
,,la Bretagne
,,Reggae
,,CP
,,Belo
,,Personally
,,climbing
,,Allemands
,,while others do not
