firstname,occurrence
Christ,1
David,5
Lucas,1
Claude,2
Victoire,1
Smith,1
Frank,1
Emilie,2
James,2
Bartholdi,1
Julie,1
Marianne,1
Franck,1
Paola,1
Jessica,1
Thomas,3
Yann,1
Marc,3
Lili,1
Camille,1
Juliette,13
Cher,1
Jason,2
Hugo,1
Laura,1
Sagrada,1
Marie,2
Alice,2
Victor,4
Gustave,1
Sonia,1
Jennifer,1
Ashley,1
Laurent,1
Alain,7
Gertrude,1
Marcelline,1
Lionel,1
Marcel,1
Patrice,1
Snowy,1
Louis,1
Maryse,1
Martin,6
Madame,3
Olivier,3
Pablo,6
Verbes,3
Carl,3
Ludo,3
Kevin,3
Michael,3
Charles,3
Ursus,3
Dialogues,3
